isNewVisitor,fullReferrerIsSet,mediumIsSet,networkDomainIsSet,networkLocationIsSet,landingPagePathIsSet,sessions,bounceRate,pageviewsPerSession,timeOnPage,source,isSpam
0,1,1,1,1,0,1,0,4,93,allmark.io,0
0,1,1,1,1,1,1,100,1,0,allmark.io,0
0,1,1,1,1,1,1,0,2,83,allmark.io,0
0,1,1,0,0,1,1,0,2,9,allmark.io,0
0,1,1,1,1,1,1,0,3,114,aol,0
0,1,1,1,1,1,1,100,1,0,baidu,0
0,1,1,1,1,1,1,100,1,0,besnard-mobi.socialcast.com,0
0,1,1,0,0,1,1,100,1,0,bing,0
0,1,1,0,0,1,1,0,20,1080,bing,0
0,1,1,0,0,1,1,0,2,22,bing,0
0,1,1,1,1,1,1,100,1,0,bing,0
0,1,1,1,1,1,1,0,6,463,bing,0
0,1,1,1,1,0,1,0,2,38,bing,0
0,1,1,1,1,0,1,100,1,0,bing,0
0,1,1,1,1,1,1,0,9,47,bing,0
0,1,1,1,1,0,1,100,1,0,bitbucket.org,0
0,1,1,1,1,0,4,0,3,272,bitbucket.org,0
0,1,1,1,1,0,1,0,7,164,bitbucket.org,0
0,1,1,1,1,0,1,0,2,11,bitbucket.org,0
0,1,1,1,1,0,1,0,5,264,bitbucket.org,0
0,1,1,1,1,0,2,100,1,0,build-a-better-business.2your.site,1
0,1,1,1,1,0,1,100,1,0,build-audience.for-your.website,1
0,1,1,1,1,1,1,100,1,0,cafe.naver.com,1
0,1,1,1,1,1,3,100,1,0,cafe.naver.com,1
0,1,1,1,1,1,2,100,1,0,cafe.naver.com,1
0,1,1,1,1,1,1,100,1,0,de.meet-magento.com,0
0,1,1,1,1,0,1,0,2,14,delicious.com,0
0,1,1,1,1,0,1,100,1,0,delicious.com,0
0,1,1,0,0,1,1,100,1,0,demo.generia.de,0
0,1,1,1,1,1,1,100,1,0,desarrollo.atsistemas.com,0
0,1,1,1,1,0,1,100,1,0,develop.allmark.io,0
0,1,1,1,1,1,2,0,8,1845,dub114.mail.live.com,0
0,1,1,0,0,1,1,0,3,86,duckduckgo.com,0
0,1,1,0,0,1,1,100,1,0,duckduckgo.com,0
0,1,1,0,1,1,1,0,9,88,duckduckgo.com,0
0,1,1,1,1,1,1,100,1,0,duckduckgo.com,0
0,1,1,1,1,1,1,0,2,41,duckduckgo.com,0
0,1,1,1,1,1,1,0,2,90,duckduckgo.com,0
0,1,1,1,1,1,1,0,2,30,duckduckgo.com,0
0,1,1,1,1,1,1,0,3,256,duckduckgo.com,0
0,1,1,1,1,1,1,100,1,0,ecosia.org,0
0,1,1,1,1,1,1,0,2,134,feedly.com,0
0,1,1,0,0,0,1,100,1,0,fix-website-errors.com,1
0,1,1,1,1,0,1,100,1,0,fix-website-errors.com,1
0,1,1,0,0,0,1,100,1,0,free-social-buttons5.xyz,1
0,1,1,0,1,0,1,100,1,0,free-social-buttons5.xyz,1
0,1,1,1,1,0,1,100,1,0,free-social-buttons5.xyz,1
0,1,1,1,1,0,3,100,1,0,free-social-buttons5.xyz,1
0,1,1,1,1,0,2,100,1,0,free-social-buttons5.xyz,1
0,1,1,0,0,1,5,100,1,0,free-traffic.xyz,1
0,1,1,1,1,1,1,100,1,0,free-traffic.xyz,1
0,1,1,1,1,0,1,100,1,0,free-video-tool.com,1
0,1,1,1,1,1,1,100,1,0,g.eeload.com,0
0,1,1,0,0,1,1,100,1,0,getpocket.com,0
0,1,1,1,1,1,1,0,2,228,getpocket.com,0
0,1,1,0,0,0,1,0,5,39,github.com,0
0,1,1,1,1,0,1,100,1,0,github.com,0
0,1,1,1,1,1,1,100,1,0,github.com,0
0,1,1,1,1,0,1,0,3,172,github.com,0
0,1,1,1,1,0,1,0,2,259,github.com,0
0,1,1,1,1,0,1,0,4,111,github.com,0
0,1,1,1,1,0,1,0,4,170,github.com,0
0,1,1,1,1,0,1,0,11,198,github.com,0
0,1,1,1,1,0,1,0,2,29,github.com,0
0,1,1,1,1,0,1,0,6,101,github.com,0
